,t,z,Precipitation (mm),AirTemp (DegC),WindSpeed_Avg (m/s),EVI,sum_rain_10,sum_rain_20,sum_rain_30,sum_rain_40,sum_rain_50,sum_rain_60,sum_rain_70,sum_rain_80,sum_rain_90,sum_rain_100,water_content,time
6774,2258,0.3048,0.0,10.918333333333337,0.1001666666666666,4479.151041666667,0.0,0.0,0.1019999999999982,2.9749999999999983,4.521999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2043333333333333,2024-03-23 02:00:00
6775,2258,0.5588,0.0,10.918333333333337,0.1001666666666666,4479.151041666667,0.0,0.0,0.1019999999999982,2.9749999999999983,4.521999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2454999999999999,2024-03-23 02:00:00
6776,2258,0.762,0.0,10.918333333333337,0.1001666666666666,4479.151041666667,0.0,0.0,0.1019999999999982,2.9749999999999983,4.521999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.249,2024-03-23 02:00:00
6777,2259,0.3048,0.0,10.613333333333332,0.133,4480.026041666667,0.0,0.0,0.0849999999999982,2.9749999999999983,4.453999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.204,2024-03-23 03:00:00
6778,2259,0.5588,0.0,10.613333333333332,0.133,4480.026041666667,0.0,0.0,0.0849999999999982,2.9749999999999983,4.453999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2454999999999999,2024-03-23 03:00:00
6779,2259,0.762,0.0,10.613333333333332,0.133,4480.026041666667,0.0,0.0,0.0849999999999982,2.9749999999999983,4.453999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.249,2024-03-23 03:00:00
6780,2260,0.3048,0.0,10.16,0.0965,4480.901041666667,0.0,0.0,0.0849999999999982,2.9749999999999983,4.317999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.204,2024-03-23 04:00:00
6781,2260,0.5588,0.0,10.16,0.0965,4480.901041666667,0.0,0.0,0.0849999999999982,2.9749999999999983,4.317999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2454999999999999,2024-03-23 04:00:00
6782,2260,0.762,0.0,10.16,0.0965,4480.901041666667,0.0,0.0,0.0849999999999982,2.9749999999999983,4.317999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.249,2024-03-23 04:00:00
6783,2261,0.3048,0.0,9.948333333333332,0.2385,4481.776041666667,0.0,0.0,0.0679999999999982,2.9749999999999983,3.994999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2029999999999999,2024-03-23 05:00:00
6784,2261,0.5588,0.0,9.948333333333332,0.2385,4481.776041666667,0.0,0.0,0.0679999999999982,2.9749999999999983,3.994999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2454999999999999,2024-03-23 05:00:00
6785,2261,0.762,0.0,9.948333333333332,0.2385,4481.776041666667,0.0,0.0,0.0679999999999982,2.9749999999999983,3.994999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.249,2024-03-23 05:00:00
6786,2262,0.3048,0.0,9.84,0.1263333333333333,4482.651041666667,0.0,0.0,0.0679999999999982,2.9749999999999983,3.620999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2035,2024-03-23 06:00:00
6787,2262,0.5588,0.0,9.84,0.1263333333333333,4482.651041666667,0.0,0.0,0.0679999999999982,2.9749999999999983,3.620999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.24525,2024-03-23 06:00:00
6788,2262,0.762,0.0,9.84,0.1263333333333333,4482.651041666667,0.0,0.0,0.0679999999999982,2.9749999999999983,3.620999999999997,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2489166666666666,2024-03-23 06:00:00
6789,2263,0.3048,0.0,11.58,0.1935,4483.526041666667,0.0,0.0,0.0509999999999982,2.9749999999999983,3.4849999999999968,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2029999999999999,2024-03-23 07:00:00
6790,2263,0.5588,0.0,11.58,0.1935,4483.526041666667,0.0,0.0,0.0509999999999982,2.9749999999999983,3.4849999999999968,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.245,2024-03-23 07:00:00
6791,2263,0.762,0.0,11.58,0.1935,4483.526041666667,0.0,0.0,0.0509999999999982,2.9749999999999983,3.4849999999999968,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 07:00:00
6792,2264,0.3048,0.0,14.243333333333334,0.4479999999999999,4484.401041666667,0.0,0.0,0.0339999999999982,2.9749999999999983,3.4849999999999968,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2029999999999999,2024-03-23 08:00:00
6793,2264,0.5588,0.0,14.243333333333334,0.4479999999999999,4484.401041666667,0.0,0.0,0.0339999999999982,2.9749999999999983,3.4849999999999968,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.245,2024-03-23 08:00:00
6794,2264,0.762,0.0,14.243333333333334,0.4479999999999999,4484.401041666667,0.0,0.0,0.0339999999999982,2.9749999999999983,3.4849999999999968,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 08:00:00
